n(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV),M (g/mol),HOMO_n(eV),'-LUMO_n(eV)
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(N(CC)C(S\5)=S)=O)C6=C4N=C(C7=CC=CC=C7)C(C8=CC=CC=C8)=N6)=C2)(C9=CC=C(CCCCCC)C=C9)C%10=C3C=C(C(C%11=C%12SC(C%13=CC=C(/C=C%14C(N(CC)C(S\%14)=S)=O)C%15=C%13N=C(C%16=CC=CC=C%16)C(C%17=CC=CC=C%17)=N%15)=C%11)(C%18=CC=C(CCCCCC)C=C%18)C%19=CC=C(CCCCCC)C=C%19)C%12=C%10,4.03,3.7,6.02,0.67,1.0,1.74,1810.54,5.42,3.68
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=NC=C(/C=C5SC(N(C/5=O)CC)=S)S4)=C2)(C6=CC=C(CCCCCC)C=C6)C7=C3C=C(C(C8=C9SC(C%10=NC=C(/C=C%11SC(N(C/%11=O)CC)=S)S%10)=C8)(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C9=C7,5.01,4.88,8.36,0.546,1.02,1.87,1416.1,5.31,3.44
CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5/C(C6=C(C5=O)C=CC(F)=C6)=C(C#N)/C#N)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12C(C(C=CC(F)=C%13)=C%13C\%12=C(C#N)\C#N)=O)S%11)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,12.71,12.51,17.7,0.751,0.915,1.6,1489.97,5.6,4.0
CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)/C#N)=O)=C4)(C7=C3SC8=C7C(C(C8=C9)=CC%10=C9C(C%11=C%10SC(/C=C%12C(C(C=C(F)C(F)=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C%11)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C%18=CC=C(CCCCCC)C=C%18,13.7,13.3,24.32,0.743,0.742,1.57,1858.49,5.5,3.93
CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC(C)=C6)=C6C\5=C(C#N)\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,8.3,8.12,13.03,0.662,0.963,1.8,1506.07,5.53,3.73
CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC(F)=C6)=C6C\5=C(C#N)\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC(F)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,8.1,7.97,15.04,0.663,0.812,1.75,1514.0,5.52,3.77
CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC(OC)=C6)=C6C\5=C(C#N)\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC(OC)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,8.61,8.47,13.52,0.66,0.965,1.83,1538.07,5.53,3.7
CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC=C6)=C6C\5=C(C#N)\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,8.63,8.5,13.55,0.681,0.935,1.82,1478.02,5.58,3.76
CCCCCCC(C=C1)=CC=C1C(C2=C3[Se]C(C4=C(CC(CC)CCCC)C(C=C5C(C(C=CC=C6)=C6/C5=C(C#N)/C#N)=O)=CS4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10[Se]C(C%11=C(C(/C=C%12\C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)\C#N)=CS%11)CC(CC)CCCC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,8.58,8.21,15.2,0.62,0.91,1.66,1798.26,5.45,3.79
CCCCCCC(C=C1)=CC=C1C(C2=CC=C(CCCCCC)C=C2)(O3)C4=CC(C5=C6C=C(/C=C7C(C(C=CC=C8)=C8C\7=C(C#N)\C#N)=O)S5)=C(C(C9=CC=C(CCCCCC)C=C9)(O6)C%10=CC=C(CCCCCC)C=C%10)C=C4C%11=C3C=C(/C=C%12C(C(C=CC=C%13)=C%13C\%12=C(C#N)/C#N)=O)S%11,7.73,7.5,14.58,0.679,0.78,1.53,1347.79,5.53,4.0
CCCCCCC(C=C1)=CC=C1C(C2=CC=C(CCCCCC)C=C2)(O3)C4=CC(C5=C6C=C(C7=CC8=C(C=C(C=C9C(C(C=CC=C%10)=C%10/C9=C(C#N)/C#N)=O)S8)S7)S5)=C(C(C%11=CC=C(CCCCCC)C=C%11)(O6)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C3C=C(C%14=CC%15=C(C=C(/C=C%16C(C(C=CC=C%17)=C%17C\%16=C(C#N)/C#N)=O)S%15)S%14)S%13,4.02,3.86,10.58,0.421,0.9,1.36,1624.19,5.28,3.92
CCCCCCC(C=C1)=CC=C1C(C2=CC=C(CCCCCC)C=C2)(O3)C4=CC(C5=C6C=C(C7=CC=C(/C=C8C(C(C=CC=C9)=C9C/8=C(C#N)/C#N)=O)S7)S5)=C(C(C%10=CC=C(CCCCCC)C=C%10)(O6)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C3C=C(C%13=CC=C(C=C%14C(C(C=CC=C%15)=C%15/C%14=C(C#N)\C#N)=O)S%13)S%12,9.21,8.88,17.31,0.596,0.89,1.44,1512.03,5.33,3.89
CCCCCCC(C=C1)=CC=C1C(C2C3SC(/C=C4C(C(C=CC=C5)=C5C\4=C(C#N)/C#N)=O)=C2)(C6=C(C3=CC=C7)C7=C8C9=C6C=CC=C9C%10=C(C(C%11=CC=C(CCCCCC)C=C%11)8C%12=CC=C(CCCCCC)C=C%12)C=C(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)\C#N)=O)S%10)C%15=CC=C(CCCCCC)C=C%15,6.09,5.76,12.27,0.529,0.938,1.9,1417.93,5.73,3.83
CCCCCCC(C=C1)=CC=C1C2(C(C(SC(/C=C3/C(C(C=C4F)=C(C3=O)C=C4F)=C(C#N)\C#N)=C5)=C5S6)=C6C(S7)=C(O2)C8=C7C9=C(S8)C%10=C(C(C%11=CC=C(CCCCCC)C=C%11)(O9)C%12=CC=C(CCCCCC)C=C%12)C(SC(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%15)=C%15S%10)C%16=CC=C(CCCCCC)C=C%16,11.47,11.28,23.45,0.689,0.71,1.56,1594.02,5.359999999999999,3.9
CCCCCCC(C=C1)=CC=C1C2(C(C(SC(/C=C3C(C(C=C(F)C(F)=C4)=C4C\3=C(C#N)/C#N)=O)=C5)=C5S6)=C6C7=CC(O8)=C(C9=C(C8(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C(SC(/C=C%12C(C(C=C(F)C(F)=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C%14)=C%14S9)C=C7O2)C%15=CC=C(CCCCCC)C=C%15,8.32,8.0,17.36,0.719,0.67,1.72,1531.92,5.78,4.06
CCCCCCC(C=C1)=CC=C1C2(C(C(SC(/C=C3C(C(C=CC=C4)=C4C\3=C(C#N)/C#N)=O)=C5)=C5S6)=C6C7=CC(O8)=C(C9=C(C8(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C(SC(/C=C%12C(C(C=CC=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C%14)=C%14S9)C=C7O2)C%15=CC=C(CCCCCC)C=C%15,6.36,6.25,13.12,0.589,0.82,1.74,1459.95,5.66,3.92
CCCCCCC(C=C1)=CC=C1C2(C3=C(C(SC4=C5SC6=C4OC(C7=C6SC(/C=C8C(C(C=C(F)C(F)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)=C5O2)SC(/C=C%12C(C(C=C(F)C(F)=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C3)C%14=CC=C(CCCCCC)C=C%14,8.25,8.11,20.39,0.589,0.67,1.6,1481.86,5.64,4.04
CCCCCCC(C=C1)=CC=C1C2(C3=C(C(SC4=C5SC6=C4OC(C7=C6SC(/C=C8C(C(C=CC(F)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)=C5O2)SC(/C=C%12C(C(C=CC(F)=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C3)C%14=CC=C(CCCCCC)C=C%14,9.12,9.02,19.27,0.626,0.75,1.67,1445.87,5.6,3.93
CCCCCCC(C=C1)=CC=C1C2(C3=C(C(SC4=C5SC6=C4OC(C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)=C5O2)SC(/C=C%12C(C(C=CC=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C3)C%14=CC=C(CCCCCC)C=C%14,8.43,8.35,17.45,0.59,0.82,1.71,1409.89,5.57,3.86
CCCCCCC(C=C1)=CC=C1C2(C3=CC(C4=C(O5)C=C(/C=C6C(C(C=C(F)C(F)=C7)=C7C\6=C(C#N)\C#N)=O)S4)=C(C5(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)C=C3C%10=C(O2)C=C(/C=C%11C(C(C=C(F)C(F)=C%12)=C%12C\%11=C(C#N)/C#N)=O)S%10)C%13=CC=C(CCCCCC)C=C%13,5.58,5.37,14.19,0.674,0.58,1.67,1419.75,5.96,4.29
CCCCCCC(C=C1)=CC=C1C2(C3=CC(C4=C(O5)C=C(C6=C(OCCCCCCCC)C=C(/C=C7C(C(C=C(F)C(F)=C8)=C8C\7=C(C#N)\C#N)=O)S6)S4)=C(C5(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)C=C3C%11=C(O2)C=C(C%12=C(OCCCCCCCC)C=C(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)/C#N)=O)S%12)S%11)C%15=CC=C(CCCCCC)C=C%15,7.66,7.37,17.58,0.61,0.71,1.56,1840.42,5.51,3.95
CCCCCCC(C=C1)=CC=C1C2(C3=CC(C4=C(O5)C=C(C6=C(SCCCCCCCC)C=C(/C=C7C(C(C=C(F)C(F)=C8)=C8C\7=C(C#N)\C#N)=O)S6)S4)=C(C5(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)C=C3C%11=C(O2)C=C(C%12=C(SCCCCCCCC)C=C(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)/C#N)=O)S%12)S%11)C%15=CC=C(CCCCCC)C=C%15,9.73,9.37,20.71,0.637,0.74,1.63,1872.54,5.55,3.92
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=C2C6=C(C7=C8C(C9(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)=C(C=C7C=C6)C%12=C9C=C(/C=C%13/C(C%14=C(C%13=O)C=C(F)C(F)=C%14)=C(C#N)/C#N)S%12)C(C=C8)=C5)SC(/C=C%15/C(C%16=C(C%15=O)C=C(F)C(F)=C%16)=C(C#N)/C#N)=C4,6.03,5.88,12.09,0.65,0.74,2.03,1511.9,5.79,3.76
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C(SC%10=C%11SC(/C=C%12C(C(C=CC(F)=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C%10)=C%11S9)C=C52)SC(/C=C%14C(C(C=CC(F)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C4,12.03,11.78,17.63,0.745,0.916,1.68,1463.94,5.69,4.01
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C(SC%10=C%11SC(/C=C%12C(C(C=CC(F)=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C%10)=C%11S9)C=C52)[Se]C(/C=C%14C(C(C=CC(F)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C4,12.24,11.99,18.02,0.759,0.895,1.69,1510.84,5.66,3.97
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C(SC(/C=C%10C(C(C=CC(F)=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C%12)=C%12S9)C=C52)SC(/C=C%13C(C(C=CC(F)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C4,10.17,9.98,15.82,0.73,0.881,1.71,1407.85,5.75,4.04
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C(SC(/C=C%10C(C(C=CC(F)=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C%12)=C%12S9)C=C52)[Se]C(/C=C%13C(C(C=CC(F)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C4,10.9,10.65,17.51,0.75,0.83,1.71,1454.75,5.71,4.0
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C=C(/C=C%10C(C(C=CC(F)=C%11)=C%11C\%10=C(C#N)\C#N)=O)S9)C=C52)SC(/C=C%12C(C(C=CC(F)=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C4,8.33,8.02,13.89,0.686,0.874,1.78,1351.77,5.84,4.06
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C=C(C%10=CC(CCCCCC)=C(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)/C#N)=O)S%10)S9)C=C52)SC(C%13=CC(CCCCCC)=C(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)/C#N)=O)S%13)=C4,11.92,11.75,20.33,0.696,0.84,1.67,1648.36,5.59,3.92
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C=C(C%10=CC(OCCCCCC)=C(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)/C#N)=O)S%10)S9)C=C52)SC(C%13=CC(OCCCCCC)=C(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)/C#N)=O)S%13)=C4,13.28,12.91,19.96,0.732,0.91,1.74,1680.35,5.54,3.8
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C=C(C%10=CC(SCCCCCC)=C(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)/C#N)=O)S%10)S9)C=C52)SC(C%13=CC(SCCCCCC)=C(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)/C#N)=O)S%13)=C4,10.6,10.34,19.04,0.657,0.85,1.67,1712.48,5.57,3.9
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC=C(CC(CC)CCCC)S5)C6=C(C(C7=C6SC8=C7SC(/C=C9C(C%10=C(C)SC(C)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C(C%13=CC=C(CC(CC)CCCC)S%13)=C4C%14=C2C(SC(/C=C%15C(C%16=C(C)SC(C)=C%16C\%15=C(C#N)/C#N)=O)=C%17)=C%17S%14,9.6,9.28,15.67,0.637,0.968,1.76,1884.78,5.55,3.79
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC=C(CC(CC)CCCC)S5)C6=C(C(C7=C6SC8=C7SC(/C=C9C(C%10=C(C)SC=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C(C%13=CC=C(CC(CC)CCCC)S%13)=C4C%14=C2C(SC(/C=C%15C(C%16=C(C)SC=C%16C\%15=C(C#N)/C#N)=O)=C%17)=C%17S%14,13.15,12.68,19.39,0.753,0.9,1.74,1856.73,5.6,3.86
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC=C(CC(CC)CCCC)S5)C6=C(C(C7=C6SC8=C7SC(/C=C9C(C%10=CSC=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C(C%13=CC=C(CC(CC)CCCC)S%13)=C4C%14=C2C(SC(/C=C%15C(C%16=CSC=C%16C\%15=C(C#N)/C#N)=O)=C%17)=C%17S%14,11.87,11.5,18.95,0.729,0.86,1.73,1828.67,5.62,3.89
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC=C([Si](CCC)(CCC)CCC)S5)C6=C(C(C7=C6SC8=C7SC9=C8SC(/C=C%10C(C(C=C(F)C(F)=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C(C%14=CC=C([Si](CCC)(CCC)CCC)S%14)=C4C%15=C2C(SC%16=C%17SC(/C=C%18C(C(C=C(F)C(F)=C%19)=C%19C\%18=C(C#N)/C#N)=O)=C%16)=C%17S%15,13.0,12.7,21.3,0.687,0.87,1.57,2089.01,5.56,3.99
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C=C(C5(CCCCCCCC)CCCCCCCC)C(C6=C5C(C7(CCCCCCCC)CCCCCCCC)=C(C8=CC(C(C(C=C9)=CC=C9CCCCCC)(C%10=C%11SC(/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)/C#N)=C%10)C(C=C%14)=CC=C%14CCCCCC)=C%11C=C78)S6)=C4)C%15=C2C=C(/C=C%16C(C(C=C(F)C(F)=C%17)=C%17C\%16=C(C#N)\C#N)=O)S%15,11.29,10.95,19.79,0.619,0.92,1.55,2018.86,5.51,3.96
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C=C(C5(CCCCCCCC)CCCCCCCC)C(C6=C5C(C7(CCCCCCCC)CCCCCCCC)=C(C8=CC(C(C(C=C9)=CC=C9CCCCCC)(C%10=C%11SC(/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)=C%10)C(C=C%14)=CC=C%14CCCCCC)=C%11C=C78)S6)=C4)C%15=C2C=C(/C=C%16C(C(C=CC=C%17)=C%17C\%16=C(C#N)\C#N)=O)S%15,9.79,9.45,16.53,0.598,0.99,1.66,1946.9,5.5,3.84
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C=C(N5CC(CCCCCC)CCCCCCCC)C(C6=CC(C(C(C=C7)=CC=C7CCCCCC)(C8=C9SC(/C=C%10/C(C%11=C(C%10=O)C=C(F)C(F)=C%11)=C(C#N)/C#N)=C8)C(C=C%12)=CC=C%12CCCCCC)=C9C=C65)=C4)C%13=C2C=C(/C=C%14C(C(C=C(F)C(F)=C%15)=C%15C\%14=C(C#N)\C#N)=O)S%13,11.18,11.1,18.62,0.667,0.9,1.96,1701.28,5.95,3.99
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C=C(N5CC(CCCCCC)CCCCCCCC)C(C6=CC(C(C(C=C7)=CC=C7CCCCCC)(C8=C9SC(/C=C%10/C(C%11=C(C%10=O)C=CC=C%11)=C(C#N)/C#N)=C8)C(C=C%12)=CC=C%12CCCCCC)=C9C=C65)=C4)C%13=C2C=C(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)S%13,5.51,5.24,12.3,0.435,1.03,2.06,1629.32,5.63,3.57
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C=C(N5CCCCCCCC)C(C6=CC(C(C(C=C7)=CC=C7CCCCCC)(C8=C9SC(/C=C%10/C(C%11=C(C%10=O)C=CC=C%11)=C(C#N)/C#N)=C8)C(C=C%12)=CC=C%12CCCCCC)=C9C=C65)=C4)C%13=C2C=C(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)S%13,2.38,2.23,6.24,0.378,1.01,2.09,1517.11,5.63,3.54
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC(C4=C5C6=CC=C(CC(CC)CCCC)S6)=C(C7=CC=C(CC(CCCC)CC)S7)C8=C5SC9=C8C(C%10=C9SC(/C=C%11/C(C%12=CSC(C)=C%12C%11=O)=C(C#N)/C#N)=C%10)(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)C%15=C2C=C(/C=C%16C(C%17=C(C)SC=C%17C\%16=C(C#N)/C#N)=O)S%15,13.18,12.72,19.52,0.747,0.904,1.73,1856.73,5.59,3.86
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC(C4=C5C6=CC=C(CC(CC)CCCC)S6)=C(C7=CC=C(CC(CCCC)CC)S7)C8=C5SC9=C8C(C%10=C9SC(/C=C%11/C(C(C=C%12F)=C(C%11=O)C=C%12F)=C(C#N)/C#N)=C%10)(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)C%15=C2C=C(/C=C%16C(C(C=C(F)C(F)=C%17)=C%17C\%16=C(C#N)/C#N)=O)S%15,9.61,9.4,18.12,0.711,0.746,1.65,1888.59,5.57,3.92
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC(C4=C5OCC(CC)CCCC)=C(OCC(CCCC)CC)C6=C5SC7=C6C(C8=C7SC(/C=C9/C(C%10=CSC(C)=C%10C9=O)=C(C#N)/C#N)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=C2C=C(/C=C%14C(C%15=C(C)SC=C%15C\%14=C(C#N)/C#N)=O)S%13,10.96,10.48,18.6,0.684,0.862,1.48,1724.48,5.42,3.94
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC5=C4SC6=C5C(C7=C6SC8=C7SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=C2C(SC(/C=C%14C(C(C=C(F)C(F)=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%16)=C%16S%13,10.8,10.8,24.7,0.67,0.65,1.29,1562.02,5.42,4.13
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC5=C4SC6=C5C(C7=C6SC8=C7SC(/C=C9C(C(C=CC(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=C2C(SC(/C=C%14C(C(C=CC(F)=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%16)=C%16S%13,12.1,11.9,24.73,0.678,0.722,1.44,1526.04,5.42,3.97
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(/C(C#N)=C(C#N)\C#N)=C6)(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C4C9=C2C=C(/C(C#N)=C(C#N)/C#N)S9,2.84,2.61,11.02,0.53,0.49,1.86,1109.55,6.04,4.18
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(/C=C(C#N)\C#N)=C6)(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C4C9=C2C=C(/C=C(C#N)/C#N)S9,3.63,3.2,8.51,0.47,0.91,2.16,1059.53,5.81,3.65
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(/C=C7C(C(C=C(F)C(F)=C8)=C8C\7=C(C#N)\C#N)=O)=C6)(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)C=C4C%11=C2C=C(/C=C%12C(C(C=C(F)C(F)=C%13)=C%13C\%12=C(C#N)/C#N)=O)S%11,5.61,5.31,13.43,0.621,0.641,1.77,1387.75,5.82,4.05
CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(/C=C7C(C8=CSC=C8C\7=C(C#N)\C#N)=O)=C6)(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)C=C4C%11=C2C=C(C=C%12C(C%13=CSC=C%13/C%12=C(C#N)\C#N)=O)S%11,7.4,6.9,13.9,0.54,0.98,1.97,1327.84,5.890000000000001,3.93
